,dog_facilities_name,dog_facilities_type,address_name
0,보듬컴퍼니 오남캠퍼스,애견훈련,남양주 오남읍
1,하이동물병원,동물병원,남양주 오남읍
2,오남동물병원,동물병원,남양주 오남읍
3,사랑으로동물병원,동물병원,남양주 오남읍
4,독앤바버,반려동물미용,남양주 오남읍
5,애니멀하우스,반려동물호텔,남양주 오남읍
6,강아지야애견샵,반려동물미용,남양주 오남읍
7,이쁘개 해줄개,반려동물미용,남양주 오남읍
8,몽글펫,반려동물미용,남양주 오남읍
9,러블리독,반려동물미용,남양주 오남읍
10,퍼피조아,반려동물미용,남양주 오남읍
11,댕꼬미 강아지분양 애견목욕 남양주진접오남점,반려동물미용,남양주 오남읍
12,으뜸온누리약국,약국,남양주 오남읍
13,아무도없개 오남점,반려동물용품,남양주 오남읍
14,K Animal,반려동물분양,남양주 오남읍
15,the D왈G 샾,반려동물미용,남양주 오남읍
16,아지사랑,반려동물미용,남양주 오남읍
17,호마드,동물사료제조,남양주 오남읍
18,모여라애견미용,반려동물미용,남양주 오남읍
19,수제명가,동물사료제조,남양주 오남읍
20,헬로멍냥,반려동물용품,남양주 오남읍
21,리니펫,반려동물용품,남양주 오남읍
22,반려감동,반려동물용품,남양주 오남읍
23,OUT Gecko,반려동물분양,남양주 오남읍
24,산시아코리아,동물사료제조,남양주 오남읍
25,대경에프엔비,동물사료제조,남양주 오남읍
26,자담치킨 오남점,"치킨,닭강정",남양주 오남읍
27,종로김약국,약국,남양주 오남읍
28,순간 사진관,"사진,스튜디오",남양주 오남읍
29,서정약국,약국,남양주 오남읍
30,365약국,약국,남양주 오남읍
31,진주약국,약국,남양주 오남읍
32,시노디아,"가구,인테리어",남양주 오남읍
33,가온산업,"폐기물수집,처리업",남양주 오남읍
34,아이앤지메딕스,제조업,남양주 오남읍
35,큐티댕냥애견강아지고양이무료분양,반려동물,남양주 오남읍
